tags_FUN,tags_WIN,spell_FUN,spell_WIN,speed_share_FUN,win_stuck_frac,plausible,fun_gt_win,set,AROUSAL_DECAY_RATE,AROUSAL_RESTORATION_SWITCH,AROUSAL_RESTORATION_TAGGER,SOFTMAX_TEMPERATURE,STARTING_DISTANCE,CATCH_DISTANCE,PURSUIT_NOISE,GIVE_UP_DISTANCE,GIVE_UP_TIME
85.76,0.97,4.09,109.32,0.7887022169291197,0.99,False,True,0,0.0630986906599932,0.2176449971299968,0.966101228065226,2.84010547196613,3.082884172982779,1.83478683575378,0.6526500473490924,8.612038160598347,7.097658008527329
35.98,0.93,7.05,108.805,0.8572726486960807,0.99,True,True,1,0.0494387264065997,1.095345328108725,2.355762772805174,3.8650033037442824,2.661440039330491,0.8544261964131254,1.0317469597878912,8.153992427923301,8.386900091875694
34.36,0.58,6.93,114.335,0.8352492272496278,1.0,True,True,2,0.0512686803884805,0.910603585438517,2.742208319435061,2.33445219864951,4.014086840783429,1.508562023693723,1.1546912216968876,9.771653054991008,5.872127236849678
6.79,0.32,29.535,118.455,0.8968890680708995,1.0,True,True,3,0.0078444491263734,1.506427532658716,2.6965103160988164,0.6637487154058308,4.237043404947429,1.4830488237883197,1.0585248568294594,4.962942579265799,3.527312434103094
26.7,0.6,8.705,112.4,0.8338999784520478,0.99,True,True,4,0.0394713661133185,0.88215652982166,2.6669571385976383,1.1289487325135732,4.695841050927846,1.251572479940882,1.2525025597273756,7.078282142431868,8.013045222060411
71.39,0.76,3.975,115.405,0.8239403317774232,1.0,False,True,5,0.07834694449176,0.5816197181079908,0.8482231848949854,2.1109197845195826,2.824801605758041,1.7022960199575428,1.3851547048293087,8.153639387492078,3.9289532415772768
43.27,1.03,7.115,115.175,0.9038353653286326,1.0,True,True,6,0.0332403146233616,0.9858181220216304,1.970369265193736,1.0905771354135418,1.7976190965503205,1.2657588982816834,0.4197906712169856,7.475591216809264,5.420614229229402
41.83,0.73,5.42,114.81,0.8306956970823519,1.0,True,True,7,0.0623837253150544,0.8495845584051045,2.2193750491612434,0.5484202918242742,4.231604987381615,1.9958190168285608,0.4222440947775073,11.997185781935157,7.353554776443874
34.91,0.57,6.885,114.765,0.8385732219250502,1.0,True,True,8,0.0477647024787816,0.8412939063220596,2.043486034999443,1.841548041580468,3.5770897235642956,1.2191951208427587,1.1731775831874227,7.74316188239623,5.3326317962812935
35.69,1.02,8.16,115.57,0.9166728518216594,1.0,True,True,9,0.0288793634945014,1.7253367459508748,2.904829521926968,0.4959175818285402,1.5734208144881972,1.174949824227301,0.2711963114403938,11.168451545304489,6.9758350806123435
25.25,0.5,8.6,113.79,0.831466773997039,1.0,True,True,10,0.0441929349986144,1.1529163957828386,2.1667538798356163,3.043154873671691,4.455520796616881,0.7706017061660015,0.9872813488426192,6.0745215556019305,7.687882433303704
19.69,1.06,13.52,111.65,0.9250255237514773,0.99,True,True,11,0.0165974569884356,2.1888247914516046,2.211744346140949,2.418297286610125,2.4076758434516305,1.4130170722478628,0.3186309042683706,3.4513466543736495,8.354910207779806
28.71,0.45,8.39,116.485,0.846671682802783,1.0,True,True,12,0.0357544103295688,0.7948661885089657,2.1814328773898195,1.5269832355081607,3.5016620203024535,0.9665954814578918,0.209094005739381,4.940420791906808,4.9786296168903235
9.31,1.06,29.295,112.905,0.9427980183314859,1.0,True,True,13,0.0054062372421092,2.538781968689449,2.879560374322649,2.9982257917929105,2.3947313620867123,1.6630697463880253,0.9211917190688252,9.512468422601462,6.416242185804159
71.77,1.21,4.95,110.66,0.896843192855622,0.99,False,True,14,0.0797797638801506,2.4646347790021736,2.8153732536281404,3.849384038358229,2.006630797560291,1.8896749043302792,0.0477053615084629,9.106082534163994,8.950655519045982
30.25,0.47,8.975,116.13,0.8438851312338848,1.0,True,True,15,0.0302975605037771,0.5178482772658496,2.0876454319342477,0.935520756491996,4.130927053651555,1.4269619649518273,1.3560865370722173,10.904944865895478,5.40059685109914
41.47,0.71,7.56,116.79,0.8554383427258092,1.0,True,True,16,0.0236777324560476,0.1846060664148368,1.64665539869967,0.1523983886518676,3.2330072232405462,1.0116218964700503,0.4917061653631365,10.826390672610362,8.276717248834146
45.04,0.91,5.405,115.615,0.8855407863238596,1.0,True,True,17,0.0549810063767895,1.373820054806358,1.7600104128958276,2.463316923990243,2.5709556315301407,1.7157131553103309,0.1648820982421798,3.8568699277537712,3.274392017821687
35.72,0.48,6.175,115.185,0.8107106790056391,1.0,True,True,18,0.0626772636366113,0.8962466973809307,2.9406552974960554,1.3375673844897478,4.15741466335498,1.0505411849999642,1.0901225648680684,7.252159713675065,6.341870612300768
18.18,0.56,11.4,112.93,0.8510993941171041,0.99,True,True,19,0.0328516048320025,1.614923216106178,2.93118779154855,0.8005343847112469,4.550084083845797,0.519844747179812,0.285230299681088,10.92995132297264,9.428312956164994
43.57,1.11,8.425,109.45,0.8943161311698917,0.99,True,True,20,0.0300853721233376,0.7260487533735785,2.16470212292451,3.215682786381081,1.858997582568441,1.3159193620727327,0.2654731119380303,8.261416292379856,8.298166044281835
40.17,0.97,5.645,111.87,0.8805010246748067,0.99,True,True,21,0.0632221551929102,1.968149872269428,1.9879918502281544,3.1816959181793765,2.627926473121689,1.4065891860203383,1.3034064431411512,4.055472800440075,7.539872104001683
23.68,0.67,9.325,112.29,0.8510380593862185,1.0,True,True,22,0.039628988236453,1.4417099982284862,1.522879079508682,1.7445533520721148,4.06026905757214,0.9932263603523804,0.3635175701009356,7.649123601140406,8.551114257612515
73.03,0.99,4.445,114.985,0.8708311050081445,1.0,False,True,23,0.067830581131703,0.7513065829822438,1.2110026080237408,1.0814063653772998,1.5236513895869384,0.9672435334951268,0.4018719596776725,10.853735355801335,4.5857923858544565
42.98,0.92,6.83,112.74,0.8694137558609022,1.0,True,True,24,0.0387868130355173,0.6423260073480612,2.021993461472164,3.9775728903497263,1.7728579362833534,0.5119509807052252,0.0382569439567052,8.9349951935714,5.439506341523355
20.71,0.69,12.74,110.86,0.8693108520447701,0.99,True,True,25,0.0198556050514457,0.6650631216133268,2.546964001991394,2.163598702076233,4.546414054154065,1.645934751828952,0.6727946095362742,9.888544702518203,8.498732119970391
47.67,1.03,4.7,113.89,0.8853711401643802,1.0,True,True,26,0.0702235834014441,1.718402648648973,2.4899438574364217,2.265896901938367,2.7418738331059225,1.754412418774165,0.4155900106740428,3.5128329255111996,6.201380648964788
57.4,0.99,5.8,114.63,0.8805096553640297,1.0,True,True,27,0.0473938108728436,0.6552872668625663,2.595753752397685,1.507546777386183,2.5918547952240094,1.8915235721668169,0.2898539906271185,4.923518830536354,5.279322597549766
29.78,0.74,5.675,112.825,0.8466916487097922,1.0,True,True,28,0.0691685849723028,2.2136956649976782,2.6050585051799953,1.7077627011826293,4.057920747809476,1.1551132796921486,0.3822790918730476,4.412647205713752,9.557869117898752
37.73,0.77,5.55,114.415,0.8446007586862707,1.0,True,True,29,0.0780949786671506,1.7874488354537217,2.0909393537027876,0.6564118655769533,3.874972515012859,1.8317352550255437,0.0275136423130803,9.110715965898242,7.31062528625486
35.33,0.67,7.035,114.39,0.847156777672359,1.0,True,True,30,0.0473687756604868,0.8759528049677717,2.8911173061657127,1.279954607184645,3.654519895042202,1.4789945672471885,0.1835396061607869,11.740487976854665,5.735761561786335
43.84,0.74,5.605,116.2,0.87539724847257,1.0,True,True,31,0.0537427856797104,1.132752080880911,2.7707007485392907,0.759537627710929,2.2794514110507627,1.1587893349166174,0.3056308597446683,6.689457054763585,3.872602524764534
54.66,0.89,5.095,107.905,0.789429112738764,0.97,True,True,32,0.0665732120054412,0.3768431844924557,2.9897804488588484,2.5893812970618413,4.004006039886511,1.6715157678950807,0.8813295508929966,10.340667188291766,9.273719280318996
56.88,1.14,5.345,110.125,0.8882539839276115,0.99,True,True,33,0.0714107778046405,1.840948566796147,2.3326220971588403,1.8713360881977723,2.022349968653191,1.574907244034402,1.18499652809493,11.263751302446645,7.02042427429691
23.27,0.94,11.365,114.825,0.9230647502892502,1.0,True,True,34,0.0187023943080892,1.7384695814539728,1.8065482361954657,3.9208208514984295,2.218184368190101,1.5565307301232327,1.2446396912325215,10.842901670587292,3.3281216527760513
16.35,0.64,14.15,111.99,0.8702271008440122,0.99,True,True,35,0.019735342998458,1.0807092986495186,1.6790062599995474,1.5981910653598064,4.864681818005997,1.5222878756968958,0.4050792703996885,11.834674799727486,8.7136013625109
80.3,1.23,5.42,112.185,0.8949197169603192,1.0,False,True,36,0.0635605920227213,1.137244504406859,2.7364848489774123,2.9305085023742845,1.7636928550493838,1.6992650207659572,1.444151895068816,9.520058451162514,6.6787517849104505
54.73,1.08,5.11,109.15,0.8758397086185552,0.99,True,True,37,0.0753257246059398,1.5118157203506046,2.0866025678103717,3.829615198476548,2.5705450811283725,1.8557191506846296,0.5535488964527744,8.778147483937024,8.34211506401314
10.42,0.7,19.935,111.63,0.9062355399712115,0.99,True,True,38,0.0127691434001229,2.5076793148319716,2.9746584920813945,1.7727824408445196,4.127848984426563,1.3521497147183643,1.0527915269329915,9.45108235625456,8.366959944600474
20.95,0.55,9.745,115.155,0.8594316724907897,1.0,True,True,39,0.0393715745487106,2.0749621364057473,2.804828580591693,0.6382165374087266,4.509853098604808,1.3575068316876706,0.2294251813216395,8.32644814776288,7.250908848201039
55.52,0.33,5.94,117.26,0.7451974744499681,1.0,True,True,40,0.049913199627984,0.2185790985869733,0.9055749943150572,2.266293705799952,4.427415061578639,1.6685774804428333,0.5188763064602966,11.970569736157268,3.6111678654698713
13.36,0.83,18.09,113.64,0.9182250782275092,1.0,True,True,41,0.0116571509049032,1.689317951735917,2.368556384706772,3.680354256609614,3.281279033455242,1.8579956142451812,0.3283771331967727,6.299820080911612,5.255554909526707
56.63,0.97,5.15,115.035,0.8797135893447019,1.0,True,True,42,0.0638071654486903,1.0731675859171166,2.5539055917235456,0.5926368352214241,2.5147268166681345,1.7875930907918092,0.2124557312996707,9.60129269060326,5.753147926692595
10.17,0.92,22.995,112.635,0.9250986661413936,1.0,True,True,43,0.00892749219688,2.4078903724444554,2.449292052996148,1.064817538017168,2.2253374443104006,0.5417961687840251,1.3253846257155424,4.8844457267535315,7.002652496220478
19.83,0.27,10.12,118.27,0.8343694954476932,1.0,True,True,44,0.0348513962030003,1.2547864490553289,2.203434646010735,1.087161770203272,4.123863402402848,0.6621382643006894,0.0891305558970685,8.598613782572817,4.41307312506858
10.99,0.31,19.08,118.36,0.8757328405376437,1.0,True,True,45,0.013203190205352,1.0810829861493996,1.9760389346433087,1.0498857241026638,3.39217845116963,0.5770219389329072,0.996029738428607,4.523970941186411,3.9753215131051425
58.11,0.55,5.235,113.48,0.7446185462739152,1.0,True,True,46,0.0610765506487038,0.2118253388788834,1.6556406332421274,3.441663935234092,3.4529513241708516,0.7410527800370343,0.5365370539293847,6.693803626395596,5.688338350888395
12.93,0.24,13.79,117.915,0.8617597850390417,1.0,True,True,47,0.0244966576543719,2.1400156246941893,2.5870569729059207,2.616312811456277,4.651737469021083,1.3978626119167998,0.2404812058031618,11.700135688221906,3.9643241805562486
40.63,0.37,6.52,117.52,0.7868777366680544,1.0,True,True,48,0.0489389086865105,0.5340161845217879,0.5875463033986347,0.9601654884899002,4.07102026619126,1.1657617852843625,0.2641222748770119,11.199238033044978,4.756027605661512
29.62,0.49,8.09,116.245,0.8350701828678134,1.0,True,True,49,0.0394237933908476,0.8568235092434573,0.9875776940562478,1.0123772699444258,3.8594046230858017,1.063345828946764,0.7737909538306089,6.582279214586887,5.838021857144129
26.36,0.66,9.145,111.035,0.8347856570676185,0.99,True,True,50,0.0329095032843122,0.6524019054789472,2.5654530395350883,0.7676996110187442,4.892351685031841,1.2252665123480584,0.9144266354690892,11.615756129302191,9.355468767469974
24.36,0.54,7.42,115.165,0.8354068124624441,0.99,True,True,51,0.064309801294298,2.8958319115044615,2.994820121774872,0.3777328800873625,4.93449093201666,1.285354340565148,0.6204116415789642,10.441664157958044,8.47766846605607
18.03,0.76,22.24,116.93,0.8963203483386358,1.0,True,True,52,0.0061467556810329,0.2325091347375705,0.672067698753101,0.2094445124084525,3.3500084443936653,1.7374824355794174,1.470247684138705,9.655229328622177,6.919509908469026
43.08,1.08,6.61,110.945,0.8857625616544741,0.99,True,True,53,0.0527462497303969,1.5804134918564607,1.81968623826644,1.5609331127357753,1.7118714149080652,0.9262256030806002,0.2204091702779542,5.696715684171078,7.182867864344338
21.54,0.67,9.6,113.16,0.8642038180675238,0.99,True,True,54,0.0398388256971953,2.3189346032437776,2.885262266369855,1.2605115608004964,4.341274435415737,1.5782384302162311,1.2008685226631095,10.86632070293034,7.991502314687285
88.34,1.06,4.33,114.49,0.8708332406817152,1.0,False,True,55,0.0607999903017633,0.4401778380440321,1.6907008347088288,1.836782556593539,1.6606655635762355,1.2099490895273457,1.334806127780391,8.94287975734075,4.085580700356437
7.39,0.11,21.065,118.885,0.8538000854208918,1.0,True,True,56,0.0170034721164711,2.7836414759281976,2.984496882049984,1.984498927265444,4.8764260163319575,0.8436471282829779,0.0468983279920229,11.429433938341344,3.3843563823913483
36.62,0.93,11.06,111.935,0.8745426836172507,1.0,True,True,57,0.0176512407576796,0.14361724560893,2.2936102839471677,1.014709399806134,2.377783394542122,0.7720972210463926,0.0672201677590923,10.9878609265035,7.089213644331611
